,ID,text,select_text,sentiment,mood
40,41,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,positive,"joy
"
41,42,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,already christmas tree got two feeling festive sure spurring get started book,positive,"joy
"
42,43,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,ive worn little concealer day feeling brave dont want pale perfect,positive,"joy
"
43,44,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,feel strongly passionate jerk decides poke make fun,positive,"joy
"
44,45,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,negative,"sadness
"
45,46,i was feeling listless from the need of new things something different,feeling listless need new thing something different,negative,"sadness
"
46,47,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,positive,"joy
"
47,48,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,let sad feeling want accepted first home mine,positive,"love
"
48,49,on a boat trip to denmark,boat trip denmark,positive,"joy
"
49,50,i stopped feeling cold and began feeling hot,stopped feeling cold began feeling hot,negative,"anger
"
50,51,i need to feel the dough to make sure its just perfect,need feel dough make sure perfect,positive,"joy
"
51,52,i found myself feeling a little discouraged that morning,found feeling little discouraged morning,negative,"sadness
"
52,53,i feel selfish and spoiled,feel selfish spoiled,negative,"anger
"
53,54,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,stymied little bit wrote feeling unsure might somewhere story unintended,negative,"fear
"
54,55,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind,positive,"joy
"
55,56,i feel you know basically like a fake in the realm of science fiction,feel know basically like fake realm science fiction,negative,"sadness
"
56,57,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,hate living dad roof give excuse asshole providing live think feel need make feel unwelcome possible ill leave,negative,"sadness
"
57,58,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,keep feeling pleasantly surprised supportiveness also ease new situation,positive,"surprise
"
58,59,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,positive,"joy
"
59,60,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,feel mom graceful warm loving smile rob time nurture heal,positive,"joy
"
60,61,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,feel talk brother law extremely popular one think stiff,positive,"joy
"
61,62,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,positive,"love
"
62,63,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,negative,"fear
"
63,64,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,began several time week feeling tortured hallucination moving people figure sound vibration,negative,"fear
"
64,65,i am now nearly finished the week detox and i feel amazing,nearly finished week detox feel amazing,positive,"surprise
"
65,66,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,negative,"anger
"
66,67,i know the pain parents feel when an enraged child becomes violent,know pain parent feel enraged child becomes violent,negative,"anger
"
67,68,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,roller coaster emotion supposed feeling something unpleasant coming,negative,"sadness
"
68,69,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,positive,"love
"
69,70,i was feeling brave when i bought it and clearly when i was doing my makeup,feeling brave bought clearly makeup,positive,"joy
"
70,71,i am feeling miserable but c i am also the proudest mum on earth,feeling miserable also proudest mum earth,negative,"sadness
"
71,72,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,figure family love matter around anyone else feel embarrassed michelle ballistic,negative,"sadness
"
72,73,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,necessarily think bomb sex necessary story feel reassured see print journal,positive,"joy
"
73,74,i can feel my ovaries aching talking to me as i like to put it,feel ovary aching talking like put,negative,"sadness
"
74,75,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,feel like much chris mostly took many picture unimportant stuff,negative,"sadness
"
75,76,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,tired book ready finding given unsuitable image feeling blamed result sit well,negative,"sadness
"
76,77,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,positive,"joy
"
77,78,i think feelings are one of nay the most important things we have,think feeling one nay important thing,positive,"joy
"
78,79,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,feel completely honored influence young talented fully alive beautiful girl woman,positive,"joy
"
79,80,i feel angered and firey,feel angered firey,negative,"anger
"
80,81,i feel like a miserable piece of garbage,feel like miserable piece garbage,negative,"sadness
"
81,82,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,feel like need make list leanne would appalled thought dont miss anything,negative,"anger
"
82,83,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,drove dannika school feeling little bit rushed greeted turned corner,negative,"anger
"
83,84,i remember feeling so hellip furious with the shooter,remember feeling hellip furious shooter,negative,"anger
"
84,85,i feel very happy and excited since i learned so many things,feel happy excited since learned many thing,positive,"joy
"
85,86,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,feel show around show horse people trusting relaxed show horse safe quiet handled frequently,positive,"joy
"
86,87,i only have a couple of things left to make and at the start of december i am done and feeling smug,couple thing left make start december done feeling smug,positive,"joy
"
87,88,i think about how u could make me feel and realize that everything will be ok,think could make feel realize everything,positive,"joy
"
88,89,i feel so worthless during those times i was struggling finding work,feel worthless time struggling finding work,negative,"sadness
"
89,90,i will be able to lay on my bed in the dark and not feel terrified at least for a while,able lay bed dark feel terrified least,negative,"fear
"
90,91,i was ready to meet mom in the airport and feel her ever supportive arms around me,ready meet mom airport feel ever supportive arm around,positive,"love
"
91,92,im feeling bitter today my mood has been strange the entire day so i guess its that,feeling bitter today mood strange entire day guess,negative,"anger
"
92,93,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,mum brother passed away involved car accident bringing present passed form five exam flying colour,negative,"sadness
"
93,94,i am letting go of the animosity that is towards anyone that i feel has wronged me,letting animosity towards anyone feel wronged,negative,"anger
"
94,95,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,talk dog feel understand word read emotion know supportive decided home,positive,"love
"
95,96,i feel like throwing away the shitty piece of shit paper,feel like throwing away shitty piece shit paper,negative,"sadness
"
96,97,im starting to feel wryly amused at the banal comedy of errors my life is turning into,starting feel wryly amused banal comedy error life turning,positive,"joy
"
97,98,i find every body beautiful and only want people to feel vital in their bodies,find every body beautiful want people feel vital body,positive,"joy
"
98,99,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,hear owner feel victimized association association attorney property manager,negative,"sadness
"
99,100,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,say goodbye fam theyre sad cry feel like heartless bitch hey pretty excited flying first time know also spend year another country,negative,"anger
"
100,101,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,wont let child cry feel loving lily little going opportunity lasted short month,positive,"love
"
101,102,i alba i feel good and im fitting in,alba feel good fitting,positive,"joy
"
102,103,i feel excited about what im doing again i feel like i have a ton of catching up to do,feel excited feel like ton catching,positive,"joy
"
103,104,i also know how good it feels to look back and see that i honored my word and that helps from the start,also know good feel look back see honored word help start,positive,"joy
"
104,105,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,negative,"sadness
"
105,106,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,feel like thing getting little overwhelming spritz toner really help calm soothe,positive,"joy
"
106,107,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,positive,"joy
"
107,108,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,feeling festive today even going put tree soon finished catching week going ons coronation street,positive,"joy
"
108,109,finding out that i am not ill not seriously,finding ill seriously,positive,"joy
"
109,110,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,negative,"sadness
"
110,111,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,positive,"joy
"
111,112,i am feeling all useful,feeling useful,positive,"joy
"
112,113,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,feel like pain imagine becoming passionate group idea causing pain,positive,"love
"
113,114,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,negative,"sadness
"
114,115,im not feeling homesick yet so im feeling alright about this,feeling homesick yet feeling alright,negative,"sadness
"
115,116,i dance i should feel pretty,dance feel pretty,positive,"joy
"
116,117,i workout every morning before and feel fabulous for it,workout every morning feel fabulous,positive,"joy
"
117,118,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,feel eye touch word eye know assuredly return love know shall vain,negative,"sadness
"
118,119,i was feeling fabulous until friday morning when i started to get these awful cramps at work,feeling fabulous friday morning started get awful cramp work,positive,"joy
"
119,120,i feel honoured to have been able to call them friends to share their brotherhood,feel honoured able call friend share brotherhood,positive,"joy
"
120,121,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,begun feel apprehensive thick black rain cloud stormed sky town,negative,"fear
"
121,122,i had stated to her the reason i feel so fearful is because i feel unsafe,stated reason feel fearful feel unsafe,negative,"fear
"
122,123,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,feel like getting shaken tsa quite yet pulled side creative croissant lunch,negative,"fear
"
123,124,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,get group feel really awkward overcompensate talkative getting really quiet,negative,"sadness
"
124,125,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,positive,"love
"
125,126,i feel they are pretty safe on my blog img src http s,feel pretty safe blog img src http,positive,"joy
"
126,127,i feel pretty eager to get it done as i have a fun plan for quilting it,feel pretty eager get done fun plan quilting,positive,"joy
"
127,128,i am feeling horny so i ask her that lets go home,feeling horny ask let home,positive,"love
"
128,129,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,negative,"fear
"
129,130,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,feel stranger strange land raising son place father ancestral home,positive,"surprise
"
130,131,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,positive,"joy
"
131,132,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,feel energetic bouncy happy gym run around outside kid take pram long walk often three one day,positive,"joy
"
132,133,i was still feeling strong,still feeling strong,positive,"joy
"
133,134,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,burst tear devastating release feeling thought seemed know rich also space without dumping,positive,"joy
"
134,135,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,negative,"anger
"
135,136,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,negative,"fear
"
136,137,i clench to the corners of the bed to feel assured,clench corner bed feel assured,positive,"joy
"
137,138,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,also feel like selfish grateful life amazing thing,negative,"anger
"
138,139,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,called god seen god book figured god right name feeling utterly affirmed accepted without question,positive,"love
"
139,140,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,know perhaps girl office nice short hair perhaps feeling rebellious,negative,"anger
"
140,141,i do not feel miserable at all because my family is not the type that celebrates eid,feel miserable family type celebrates eid,negative,"sadness
"
141,142,i might go get a car wash if i am feeling really generous my car needs it,might get car wash feeling really generous car need,positive,"joy
"
142,143,i still feel sleep deprived she is almost sleeping through the night giving us,still feel sleep deprived almost sleeping night giving,negative,"sadness
"
143,144,i just feel really violent right now,feel really violent right,negative,"anger
"
144,145,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,bloging sitting feeling content dog amp cat etc know lucky truth,positive,"joy
"
145,146,i started feeling funny and then friday i woke up sick as a dog,started feeling funny friday woke sick dog,positive,"surprise
"
146,147,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,feel need protect parent witch hunt repressed memory therapy,negative,"sadness
"
147,148,i feel disgusted to even be associated with this woman by my race and nationality,feel disgusted even associated woman race nationality,negative,"anger
"
148,149,i laughed then bitterly again but i wasnt feeling bitter,laughed bitterly wasnt feeling bitter,negative,"anger
"
149,150,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,know feeling thought wished could knew however much hated first experience would remember forever,negative,"sadness
"
150,151,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,feeling quite mellow wanted soft easy look wear beginning cold,positive,"joy
"
151,152,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,told maybe need time think ive feeling indecisive thing lately,negative,"fear
"
152,153,i still feel it does the genre a disservice when stories are resolved artifically,still feel doe genre disservice story resolved artifically,positive,"joy
"
153,154,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish pissed,positive,"joy
"
154,155,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,remember feeling really terrified brazil bus going steep mountain hill side mountain middle big storm wondering going fall,negative,"fear
"
155,156,i could feel her whimper to the thought of being unloved and uncared for,could feel whimper thought unloved uncared,negative,"sadness
"
156,157,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,positive,"surprise
"
157,158,im sorry that there wasnt more humor in this post but im not feeling all that funny,sorry wasnt humor post feeling funny,positive,"surprise
"
158,159,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,feel ive got foot door fantastic world walking running trail fell mountain,positive,"joy
"
159,160,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,negative,"anger
"
160,161,i feel strange coming back to work after my one day holiday,feel strange coming back work one day holiday,negative,"fear
"
161,162,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet,negative,"anger
"
162,163,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girl,negative,"sadness
"
163,164,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,could claim redeem genre leave feeling entirely frustrated point beating head wall either,negative,"anger
"
164,165,i feel so sad and hopeless,feel sad hopeless,negative,"sadness
"
165,166,im getting the feeling that my classes are a little intimidated by the concept of a lit,getting feeling class little intimidated concept lit,negative,"fear
"
166,167,i still feel groggy but i have to get up to do the routine for my son,still feel groggy get routine son,negative,"sadness
"
167,168,i have a feeling my view isnt going to be very popular and thats fine,feeling view isnt going popular thats fine,positive,"joy
"
168,169,i want to hold this feeling of shocked awe and wonder forever,want hold feeling shocked awe wonder forever,positive,"surprise
"
169,170,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,heard rumour year exam result fear might one failure,negative,"fear
"
170,171,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,want feel valued appreciated know people love arent going anywhere even nature relationship change,positive,"joy
"
171,172,i know there are days in which you feel distracted,know day feel distracted,negative,"anger
"
172,173,i use it regularly with relaxing music and always feel invigorated afterward,use regularly relaxing music always feel invigorated afterward,positive,"joy
"
173,174,im feeling distracted i tend to practice with my eyes shut as much as possible,feeling distracted tend practice eye shut much possible,negative,"anger
"
174,175,i feel like its perfect a w see youtube has its influences i even know trends,feel like perfect see youtube influence even know trend,positive,"joy
"
175,176,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,specifically wanted tango feeling shy mak quite opposite hard get far enough away get good pic lol,negative,"fear
"
176,177,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,also feel weird sleeping bed two slept,negative,"fear
"
177,178,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,wish okay thinking earlier today thing cooped amp restless made feel needy,negative,"sadness
"
178,179,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,positive,"joy
"
179,180,i hope to feel a bit more creative again soon and miss its presence in my life blog,hope feel bit creative soon miss presence life blog,positive,"joy
"
180,181,i am no fan of the current president i am a conservative and it made me feel unwelcome,fan current president conservative made feel unwelcome,negative,"sadness
"
181,182,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,enclose verse could weigh much thinking feeling curious hear odd couple,positive,"surprise
"
182,183,i begin to feel complacent with my life here,begin feel complacent life,positive,"joy
"
183,184,i feel vulnerable and alone,feel vulnerable alone,negative,"fear
"
184,185,i remember feeling inspired and thinking that it was a fine example of parenting,remember feeling inspired thinking fine example parenting,positive,"joy
"
185,186,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,feel like always one getting punished stupid thing feel like chastised behaving,negative,"sadness
"
186,187,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,really feel life perfect right isnt much ask hope everything would stay,positive,"joy
"
187,188,im there i simply feel contented,simply feel contented,positive,"joy
"
188,189,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,saying cut everyone life feel important find comfort solitude meditation working project alone,positive,"joy
"
189,190,i think im just being stupid feeling nervous,think stupid feeling nervous,negative,"fear
"
190,191,i feel honored by it,feel honored,positive,"joy
"
191,192,i was feeling an act of god at work in my life and it was an amazing feeling,feeling act god work life amazing feeling,positive,"surprise
"
192,193,i feel im like a bird flying in the air in a very carefree manner,feel like bird flying air carefree manner,positive,"joy
"
193,194,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,revise reply mind make sure reply sound appropriate enough person receive reply feel offended,negative,"anger
"
194,195,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,felt sad friend mine died felt something irrevocably gone away,negative,"sadness
"
195,196,i died would alex and matt feel regretful for not coming to visit,died would alex matt feel regretful coming visit,negative,"sadness
"
196,197,i feel that educating families and supporting and educationg mamas and papas is key,feel educating family supporting educationg mama papa key,positive,"joy
"
197,198,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,sure lost feel like everyone hostile toward hate feeling,negative,"anger
"
198,199,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,feel like boring sewing make since easy nothing else say fabric usage,negative,"sadness
"
199,200,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,positive,"joy
"
200,201,i feel like i talented young man i don t feel talented then i don t to work with,feel like talented young man feel talented work,positive,"joy
"
201,202,i feel curious about all this things around,feel curious thing around,positive,"surprise
"
202,203,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,feel reason apart others life help become something push succeed successful happy,positive,"joy
"
203,204,i feel now so uncomfortable with all of them i guess is me,feel uncomfortable guess,negative,"fear
"
204,205,i feel pretty mellow so far about whatever healing wounding process may be getting underway,feel pretty mellow far whatever healing wounding process may getting underway,positive,"joy
"
205,206,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,wonder sometimes whether added antagonism misunderstanding many people towards feel reluctant wholeheartedly support traditional armistice day remembrance,negative,"fear
"
206,207,i legs would feel shitty for a few miles but would come around like they always do,leg would feel shitty mile would come around like always,negative,"sadness
"
207,208,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,know unfair reaction run way explain feel shaken best come right,negative,"fear
"
